Pair,Sector,Date,Position,Spread,ZScore,PnL_Net,Cum_PnL,Value
TECHM.NS/MPHASIS.NS,IT,2022-08-24,-1.0,1.3146181800121894,2.540327274560523,-17285.777953126097,-46846.03766565159,1203153.9623343484
TECHM.NS/MPHASIS.NS,IT,2022-08-25,-1.0,12.556902979690904,2.778774520469748,-6733.7253693316125,-53579.7630349832,1196420.2369650167
TECHM.NS/MPHASIS.NS,IT,2022-08-26,-1.0,36.93160023776875,3.3391993724348907,-24542.094964178406,-78121.85799916161,1171878.1420008384
TECHM.NS/MPHASIS.NS,IT,2022-08-29,-1.0,26.38874704449313,2.819935347774864,36570.13687305637,-41551.72112610524,1208448.2788738948
TECHM.NS/MPHASIS.NS,IT,2022-08-30,-1.0,43.44383749683277,3.1624691610931532,-36865.6462505336,-78417.36737663884,1171582.6326233612
TECHM.NS/MPHASIS.NS,IT,2022-09-01,-1.0,38.47197695115506,2.8619210843779492,17094.055000132055,-61323.31237650679,1188676.6876234931
TECHM.NS/MPHASIS.NS,IT,2022-09-02,-1.0,50.67924383614468,2.999987028730565,-10154.409796171944,-71477.72217267872,1178522.2778273213
TECHM.NS/MPHASIS.NS,IT,2022-09-05,-1.0,50.010140763027835,2.801342048732524,-4786.485599595238,-76264.20777227396,1173735.792227726
TECHM.NS/MPHASIS.NS,IT,2022-09-06,-1.0,62.019568174052324,2.9461333961929643,-7071.475185233138,-83335.6829575071,1166664.3170424928
TECHM.NS/MPHASIS.NS,IT,2022-09-07,-1.0,45.52906272634709,2.4796426166945222,15644.060329552698,-67691.6226279544,1182308.3773720455
TECHM.NS/MPHASIS.NS,IT,2022-09-08,-1.0,69.68613796975785,2.890631395495732,-36448.92375602524,-104140.54638397964,1145859.4536160203
TECHM.NS/MPHASIS.NS,IT,2022-09-09,-1.0,81.74910074014167,2.952096269670873,-29208.563157610573,-133349.1095415902,1116650.8904584097
TECHM.NS/MPHASIS.NS,IT,2022-09-12,-1.0,95.60558859231253,3.0209537467906,-21775.066500320056,-155124.17604191025,1094875.8239580898
TECHM.NS/MPHASIS.NS,IT,2022-09-13,-1.0,96.86661505756706,2.8462525182372644,607.649878620323,-154516.52616328993,1095483.47383671
TECHM.NS/MPHASIS.NS,IT,2022-09-14,-1.0,94.53359097704856,2.6391636517310033,18911.980311511405,-135604.54585177853,1114395.4541482215
TECHM.NS/MPHASIS.NS,IT,2022-09-15,-1.0,63.900440518681876,1.9932599923559235,37482.902975349985,-98121.64287642855,1151878.3571235714
TECHM.NS/MPHASIS.NS,IT,2022-09-16,-1.0,54.18425133672929,1.757706651819847,35352.57036667448,-62769.07250975407,1187230.927490246
TECHM.NS/MPHASIS.NS,IT,2022-09-19,-1.0,54.72283786468108,1.70908682231557,-4241.036459387833,-67010.1089691419,1182989.891030858
TECHM.NS/MPHASIS.NS,IT,2022-09-20,-1.0,50.46073797676968,1.584795464710605,-7288.410187042125,-74298.51915618403,1175701.480843816
TECHM.NS/MPHASIS.NS,IT,2022-09-21,-1.0,53.00797507968025,1.5785548486814756,-4107.1358203212385,-78405.65497650528,1171594.3450234947
TECHM.NS/MPHASIS.NS,IT,2022-09-22,-1.0,49.64437294594984,1.4776319733220618,9288.18442398867,-69117.4705525166,1180882.5294474834
